Generation,Worst Feasibility,Average Feasibility,Best Feasibility,Worst Objective,Average Objective,Best Objective
0,-0.5602239549711219,-0.04535817626622769,0.0,0.0,0.7377869973029934,3.7496894729404877
1,0.0,0.0,0.0,-5.4092657546506855,2.296349291071736,3.78930062575393
2,-0.08969047012712317,-0.0014398540321082442,0.0,0.0,2.657741435012732,3.791791298196173
3,-0.02477509753734075,-0.0004057627165373434,0.0,0.0,3.016299207980217,3.791791298196173
4,0.0,0.0,0.0,-3.8177300305185717,3.4249216770058672,3.8181611196132508
5,0.0,0.0,0.0,2.052793290352084,3.585008040902946,3.8181611196132508
6,0.0,0.0,0.0,1.7369000403963413,3.6269516126427455,3.8322537636401584
7,0.0,0.0,0.0,-9.837986662618755,3.4960886598365546,3.838886522011879
8,-0.0031171023321054925,-3.117102332105492e-05,0.0,0.0,3.6278346157508428,3.838886522011879
9,0.0,0.0,0.0,-0.9518444093030748,3.641893753672055,3.8400899658708605
10,0.0,0.0,0.0,-10.835971055570063,3.507851448332115,3.840112907882761
11,0.0,0.0,0.0,-8.571955046558294,3.5526233789931463,3.8477518512435442
12,0.0,0.0,0.0,1.8268009801153586,3.7107686567697113,3.8477518512435442
13,0.0,0.0,0.0,-1.825565826335511,3.587201557576364,3.855115494610904
14,-0.02598367549069258,-0.0002598367549069258,0.0,0.0,3.6107001674694015,3.855115494610904
15,0.0,0.0,0.0,2.1222504206002824,3.7253463601032366,3.855115494610904
16,-0.011733456744154047,-0.00011733456744154048,0.0,0.0,3.7092593662799396,3.858319220521786
17,0.0,0.0,0.0,-10.956321792177329,3.570383437617238,3.858319220521786
18,0.0,0.0,0.0,2.531775999941994,3.78568934055789,3.858319220521786
19,-0.06169181571038673,-0.001473027541743598,0.0,0.0,3.4554978823636073,3.863466131210659
20,-0.029058828640997514,-0.0005708567760818061,0.0,0.0,3.5042848229327292,3.863466131210659
21,0.0,0.0,0.0,-8.69094385642261,3.5315637592448064,3.863466131210659
22,-0.031152130377274156,-0.00031152130377274154,0.0,0.0,3.624966207019972,3.863466131210659
23,0.0,0.0,0.0,-7.364451598895707,3.509749164494491,3.8634667079775333
24,0.0,0.0,0.0,-12.206398799732325,3.405937051016447,3.8634667079775333
25,0.0,0.0,0.0,-13.068877245489812,3.41009436776108,3.8634667079775333
26,0.0,0.0,0.0,-0.047846920011782534,3.5935533828848376,3.864411149618026
27,-0.0466707085412007,-0.0008599342182422998,0.0,0.0,3.406742268282009,3.865667130969981
28,0.0,0.0,0.0,-12.208024309555395,3.39440633086739,3.865667130969981
29,-0.08369148254395453,-0.0008369148254395453,0.0,0.0,3.68661183094231,3.865667130969981
30,-0.05476646919806827,-0.0007914059819441466,0.0,0.0,3.221024943094627,3.8679979985249866
31,0.0,0.0,0.0,-11.655413798436001,3.2923959600035215,3.8679991476590003
32,0.0,0.0,0.0,-2.3373076613593224,3.5768374339997724,3.8679991476590003
33,0.0,0.0,0.0,-13.697645538123181,3.331124340351615,3.8679991476590003
34,0.0,0.0,0.0,1.1680977567889024,3.6368144846680184,3.8679991476590003
35,-0.051395712023627915,-0.0005339277234390739,0.0,0.0,3.6601725048549216,3.8679991476590003
36,0.0,0.0,0.0,-10.976109222045462,3.4968187284132113,3.8679991476590003
37,-0.1341392767299603,-0.0016496306886973565,0.0,0.0,3.3235323596788815,3.8679991476590003
38,-0.0695401562371547,-0.000695401562371547,0.0,0.0,3.4694014842936247,3.8679991476590003
39,0.0,0.0,0.0,-5.727382247360144,3.6133484586779763,3.8692499407857186
40,0.0,0.0,0.0,-1.9835398171684464,3.5520197883002016,3.8692499407857186
41,0.0,0.0,0.0,1.3594343885670028,3.6869700786363238,3.8692499407857186
42,-0.0383676638155932,-0.000383676638155932,0.0,0.0,3.488501191400179,3.8692499407857186
43,-0.014695771118965695,-0.00014695771118965694,0.0,0.0,3.382793847756149,3.8692499407857186
44,-0.0460776431913541,-0.000460776431913541,0.0,0.0,3.4874450612678625,3.8692499407857186
45,0.0,0.0,0.0,-14.733149234786826,3.411322367620155,3.8692499407857186
46,0.0,0.0,0.0,-6.366499518646855,3.5706859393514714,3.8692499407857186
47,-0.036468853278844415,-0.00041000152097630084,0.0,0.0,3.4213289788464505,3.8692499407857186
48,-0.03578712405373885,-0.0003578712405373885,0.0,0.0,3.6755500447096408,3.8692499407857186
49,-0.05031428795845905,-0.0005031428795845904,0.0,0.0,3.5738102604760567,3.8692499407857186
50,0.0,0.0,0.0,-14.325016084607336,3.4926894176350225,3.8692499407857186
51,-0.014462942475122031,-0.00014462942475122032,0.0,0.0,3.515246801600605,3.8692499407857186
52,0.0,0.0,0.0,1.3875604911320543,3.6767030872435957,3.8703582430721624
53,0.0,0.0,0.0,-6.158836258006502,3.528776017778591,3.8703582430721624
54,-0.0026071974467041237,-2.6071974467041237e-05,0.0,0.0,3.551789585247961,3.8703582430721624
55,0.0,0.0,0.0,-14.744373175440773,3.3964207396573256,3.870749308489165
56,0.0,0.0,0.0,1.0161995092797844,3.6707781898889102,3.870749308489165
57,-0.046010959315619826,-0.00046010959315619825,0.0,0.0,3.4910375843188586,3.870749308489165
58,-0.00763712860724608,-7.63712860724608e-05,0.0,0.0,3.542819866517944,3.871483241287553
59,-0.08848485465172395,-0.0008848485465172396,0.0,0.0,3.573887638770227,3.871483241287553
60,-0.004918518674412398,-4.918518674412397e-05,0.0,0.0,3.4588791699621577,3.871577029551278
61,0.0,0.0,0.0,-14.850438583351853,3.3395651002229254,3.871577029551278
62,0.0,0.0,0.0,-8.986190503369492,3.506064992576429,3.8716091262973187
63,-0.0030103905409268883,-3.0103905409268883e-05,0.0,0.0,3.4949093479016398,3.8716097344158746
64,0.0,0.0,0.0,-8.598333240379935,3.433265678644473,3.8716098623240742
65,0.0,0.0,0.0,-3.376915165798265,3.5748015911345594,3.8716098623240742
66,0.0,0.0,0.0,-6.146913957160832,3.429288259401336,3.8728265013493792
67,0.0,0.0,0.0,-14.295883357276914,3.5547467723746164,3.873043041517693
68,0.0,0.0,0.0,-4.712285631435569,3.5500470152652532,3.873043041517693
69,0.0,0.0,0.0,-14.612153187524656,3.293765812933395,3.873043041517693
70,0.0,0.0,0.0,-14.661056884702175,3.316301225123401,3.873043041517693
71,0.0,0.0,0.0,-4.300931288795357,3.5849763487773396,3.873043041517693
72,0.0,0.0,0.0,1.396380475873096,3.638580917215575,3.873043041517693
73,0.0,0.0,0.0,-14.306495614422952,3.437545078459699,3.873043041517693
74,0.0,0.0,0.0,-10.614765428035419,3.558783266852964,3.873043041517693
75,0.0,0.0,0.0,-16.13919717086934,3.426765498246762,3.873043041517693
76,0.0,0.0,0.0,-5.827166915224255,3.5140285910978237,3.873043041517693
77,0.0,0.0,0.0,-14.351765711502962,3.3454919626475275,3.873043041517693
78,-0.0557385647151043,-0.000557385647151043,0.0,0.0,3.6660176977924697,3.873043041517693
79,-0.0008971693995691865,-8.971693995691864e-06,0.0,0.0,3.6441703990214194,3.873043041517693
80,-0.03761885448651914,-0.0006623809541188519,0.0,0.0,3.360990769615719,3.873043041517693
81,0.0,0.0,0.0,0.6340374091227653,3.7130441920191477,3.873043041517693
82,0.0,0.0,0.0,1.280668744396269,3.6885858691590596,3.873043041517693
