Individual,wheel_radius,chassis_length,suspension_frequency,suspension_damping,sensor_limit,speed_max,speed_slope,speed_intercept,wheel_radius-genome,chassis_length-genome,suspension_frequency-genome,suspension_damping-genome,sensor_limit-genome,speed_max-genome,speed_slope-genome,speed_intercept-genome,feasibility,objective,final_distance,final_speed,hit_wall,index_at_rest
0,1.139564717404452,3.0,4.0,0.7,10.0,2.7495339704168575,2.0,-15.23069484529333,0.6395647174044521,0.6666666666666666,0.42857142857142855,0.6666666666666665,0.6428571428571429,0.27495339704168575,0.2,0.11923262886766675,0,3.392352161904983,-2.616514205932617,1.4230634404199805e-05,False,1120
1,1.139564717404452,3.0,4.66598706970463,0.7,10.0,2.7495339704168575,2.0,-15.23069484529333,0.6395647174044521,0.6666666666666666,0.5237124385292329,0.6666666666666665,0.6428571428571429,0.27495339704168575,0.2,0.11923262886766675,0,3.389985332487499,-2.6153831481933594,2.5674726201074805e-05,False,1140
2,1.2,3.0,4.3397749756489095,0.6283132834861027,11.468772370815818,2.548177090141272,2.0,-15.0,0.7,0.6666666666666666,0.477110710806987,0.5471888058101713,0.7477694550582727,0.2548177090141272,0.2,0.125,0,3.36346312152627,-2.5000152587890625,-1.1444091796875e-05,False,1340
3,1.139564717404452,3.0,4.9844350324095235,0.7,10.0,2.7495339704168575,1.712090698451755,-15.23069484529333,0.6395647174044521,0.6666666666666666,0.569205004629932,0.6666666666666665,0.6428571428571429,0.27495339704168575,0.1712090698451755,0.11923262886766675,0,3.25557050884078,-3.8959579467773438,-3.411522869178896e-05,False,1010
4,1.2,3.0,4.0,0.656932012365962,9.655577002162163,2.2438694120128257,2.0,-17.648249277730866,0.7,0.6666666666666666,0.42857142857142855,0.5948866872766032,0.6182555001544402,0.22438694120128255,0.2,0.058793768056728354,0,3.2289233208102135,-3.8241329193115234,-1.777138320946392e-05,False,1170
5,1.2,3.063205783277513,4.0,0.6453704650796533,10.0,2.548177090141272,2.0,-15.0,0.7,0.6877352610925044,0.42857142857142855,0.5756174417994222,0.6428571428571429,0.2548177090141272,0.2,0.125,0,3.3658479809981823,-2.500978469848633,1.71661376953125e-05,False,1320
6,1.139564717404452,2.8042920583966326,4.0,0.7,10.0,2.7495339704168575,2.0,-15.23069484529333,0.6395647174044521,0.601430686132211,0.42857142857142855,0.6666666666666665,0.6428571428571429,0.27495339704168575,0.2,0.11923262886766675,0,3.391238070032824,-2.615375518798828,-1.0281546583001955e-06,False,1130
7,1.139564717404452,3.0,3.8842391718158487,0.7,10.0,2.7495339704168575,2.0,-15.23069484529333,0.6395647174044521,0.6666666666666666,0.4120341674022641,0.6666666666666665,0.6428571428571429,0.27495339704168575,0.2,0.11923262886766675,0,3.3924850704455967,-2.6153812408447266,1.8045331669824805e-05,False,1120
8,1.2,3.0,4.380931894298233,0.7,10.0,2.2438694120128257,1.8431420013801127,-15.0,0.7,0.6666666666666666,0.4829902706140333,0.6666666666666665,0.6428571428571429,0.22438694120128255,0.18431420013801128,0.125,0,3.3096084251657323,-3.1383094787597656,1.7834359500312758e-05,False,1170
9,1.139564717404452,3.0,4.0,0.7,10.0,4.47184210101565,2.0,-15.23069484529333,0.6395647174044521,0.6666666666666666,0.42857142857142855,0.6666666666666665,0.6428571428571429,0.447184210101565,0.2,0.11923262886766675,0,3.332517228398103,-2.615354537963867,-2.7731035517675195e-05,False,1600
